Owner/Repository,Repository Age,Stars,Total Releases,CBO,DIT,WMC,LOC
sohutv/cachecloud,1877,5435,4,,,,
alibaba/freeline,1687,5433,22,,,,
real-logic/aeron,2595,5419,72,,,,
wasabeef/richeditor-android,2179,5412,0,,,,
knightliao/disconf,2483,5409,12,,,,
joelittlejohn/jsonschema2pojo,2825,5408,57,,,,
jgilfelt/SystemBarTint,2677,5399,3,,,,
li-xiaojun/XPopup,831,5397,118,,,,
yarolegovich/DiscreteScrollView,1475,5385,2,,,,
jpush/aurora-imui,1555,5384,42,,,,
evant/gradle-retrolambda,2781,5384,37,,,,
sshahine/JFoenix,2017,5380,0,,,,
evernote/android-job,2036,5376,31,,,,
yuanguangxin/LeetCode,431,5371,0,,,,
dm77/barcodescanner,2578,5361,6,,,,
k0shk0sh/FastHub,1488,5343,63,,,,
febsteam/FEBS-Shiro,1093,5342,0,,,,
liyifeng1994/ssm,1733,5330,0,,,,
ionic-team/capacitor,1215,5328,49,,,,
facebook/facebook-android-sdk,3964,5321,36,,,,
lucasr/twoway-view,2980,5278,0,,,,
apache/tomcat,3455,5247,0,,,,
rest-assured/rest-assured,3800,5239,0,,,,
react-native-svg/react-native-svg,1886,5239,73,,,,
XRecyclerView/XRecyclerView,1946,5239,0,,,,
rabbitmq/rabbitmq-tutorials,3830,5228,0,,,,
yixia/VitamioBundle,3071,5217,0,,,,
apache/incubator-dolphinscheduler,747,5215,15,,,,
square/otto,3185,5213,0,,,,
lightbend/config,3389,5212,0,,,,
robolectric/robolectric,3854,5206,71,,,,
commonsguy/cw-omnibus,3292,5204,36,,,,
mrniko/netty-socketio,3352,5192,3,,,,
haifengl/smile,2309,5190,22,,,,
amitshekhariitbhu/Fast-Android-Networking,1822,5186,8,,,,
apache/zeppelin,2184,5179,0,,,,
Tencent/Shadow,643,5169,1,,,,
Clans/FloatingActionButton,2188,5167,14,,,,
ximsfei/Android-skin-support,1525,5167,0,,,,
cryptomator/cryptomator,2600,5166,102,,,,
scribejava/scribejava,3846,5145,4,,,,
hanks-zyh/HTextView,1915,5132,0,,,,
thinkaurelius/titan,3308,5129,0,,,,
Yalantis/Side-Menu.Android,2255,5115,2,,,,
google/grafika,2645,5102,1,,,,
motianhuo/wechat,2123,5095,0,,,,
MindorksOpenSource/from-java-to-kotlin,1396,5069,0,,,,
h6ah4i/android-advancedrecyclerview,2244,5065,1,,,,
apache/jmeter,3948,5060,0,,,,
springfox/springfox,3237,5054,12,,,,
frogermcs/InstaMaterial,2319,5035,1,,,,
xxv/android-lifecycle,2525,5034,0,,,,
wuhaoyu1990/MagicCamera,1895,5011,0,,,,
Alluxio/alluxio,3008,5000,42,,,,
CameraKit/camerakit-android,1571,4997,17,,,,
apache/dubbo-spring-boot-project,1154,4992,13,,,,
gzu-liyujiang/AndroidPicker,1974,4991,28,,,,
KeepSafe/TapTargetView,1648,4991,22,,,,
yanzhenjie/SwipeRecyclerView,1687,4989,0,,,,
alibaba/UltraViewPager,1449,4988,10,,,,
Trinea/android-common,3193,4982,1,,,,
changmingxie/tcc-transaction,1929,4972,0,,,,
wequick/Small,1937,4961,25,,,,
bytedeco/javacv,2522,4949,6,,,,
traex/RippleEffect,2346,4941,0,,,,
Vedenin/useful-java-links,1859,4927,0,,,,
wxiaoqi/Spring-Cloud-Platform,1392,4919,3,,,,
careercup/ctci,2918,4913,0,,,,
Karumi/Dexter,1947,4904,32,,,,
spring-projects/spring-mvc-showcase,3575,4902,0,,,,
amitshekhariitbhu/RxJava2-Android-Samples,1663,4897,0,,,,
orhanobut/dialogplus,2287,4877,9,,,,
Devlight/NavigationTabBar,1814,4848,13,,,,
TommyLemon/Android-ZBLibrary,2036,4846,25,,,,
JesusFreke/smali,3097,4844,1,,,,
claritylab/lucida,2500,4843,0,,,,
yipianfengye/android-zxingLibrary,1695,4818,0,,,,
graphql-java/graphql-java,2081,4813,34,,,,
wasabeef/Blurry,2064,4809,0,,,,
andkulikov/Transitions-Everywhere,2345,4803,23,,,,
micronaut-projects/micronaut-core,1106,4803,71,,,,
etsy/AndroidStaggeredGrid,2655,4800,7,,,,
527515025/springBoot,1591,4800,0,,,,
Ramotion/folding-cell-android,1811,4795,0,,,,
kekingcn/kkFileView,1191,4794,6,,,,
pentaho/pentaho-kettle,2717,4793,1,,,,
gabrielemariotti/cardslib,2735,4748,27,,,,
saiwu-bigkoo/Android-ConvenientBanner,2276,4734,0,,,,
spring-projects/spring-petclinic,2989,4733,0,,,,
pardom-zz/ActiveAndroid,3044,4730,0,,,,
crazycodeboy/react-native-splash-screen,1645,4706,11,,,,
google/cameraview,1686,4702,0,,,,
testcontainers/testcontainers-java,2166,4696,49,,,,
rubensousa/GravitySnapHelper,1659,4691,13,,,,
languagetool-org/languagetool,2778,4667,0,,,,
square/sqlbrite,2218,4667,9,,,,
journeyapps/zxing-android-embedded,3031,4666,6,,,,
apache/beam,1870,4656,11,,,,
h2pl/Java-Tutorial,1051,4652,0,,,,
mcxiaoke/packer-ng-plugin,1940,4636,1,,,,
mybatis/generator,2957,4630,9,,,,
socketio/socket.io-client-java,2880,4622,2,,,,
DingMouRen/LayoutManagerGroup,1054,4612,0,,,,
hongyangAndroid/baseAdapter,2053,4606,0,,,,
JodaOrg/joda-time,3593,4600,32,,,,
go-lang-plugin-org/go-lang-idea-plugin,3853,4587,21,,,,
intuit/karate,1499,4577,35,,,,
chentao0707/SimplifyReader,2039,4575,0,,,,
danielzeller/Depth-LIB-Android-,1785,4571,0,,,,
ZXZxin/ZXBlog,774,4568,0,,,,
danikula/AndroidVideoCache,2177,4560,20,,,,
hibernate/hibernate-orm,3817,4556,16,,,,
wdullaer/MaterialDateTimePicker,2265,4537,54,,,,
SplashCodes/JAViewer,1761,4534,10,,,,
JakeWharton/NineOldAndroids,3387,4522,0,,,,
MinecraftForge/MinecraftForge,3334,4519,0,,,,
jdamcd/android-crop,2561,4490,6,,,,
facebook/shimmer-android,2210,4490,5,,,,
junit-team/junit5,2257,4488,49,,,,
Flipboard/bottomsheet,2155,4483,10,,,,
google/google-authenticator,2352,4471,0,,,,
debezium/debezium,1881,4468,0,,,,
youlookwhat/CloudReader,1578,4459,23,,,,
zhanghai/Douya,1871,4459,11,,,,
ffay/lanproxy,1578,4446,1,,,,
square/android-times-square,2968,4430,0,,,,
kyleduo/SwitchButton,2381,4427,0,,,,
romandanylyk/PageIndicatorView,1670,4422,14,,,,
btraceio/btrace,2393,4416,26,,,,
huangyanbin/smartTable,1225,4409,44,,,,
nisrulz/android-tips-tricks,1665,4395,0,,,,
HotBitmapGG/bilibili-android-client,1750,4382,1,,,,
OpenTSDB/opentsdb,3855,4379,25,,,,
pili-engineering/PLDroidPlayer,2115,4378,37,,,,
mcxiaoke/android-volley,2857,4373,0,,,,
jgilfelt/chuck,1499,4368,5,,,,
Meituan-Dianping/Leaf,827,4354,0,,,,
alibaba/dexposed,2087,4348,0,,,,
castorflex/SmoothProgressBar,2667,4342,9,,,,
spring-projects/spring-security-oauth,3522,4340,0,,,,
tomakehurst/wiremock,3447,4337,1,,,,
MindorksOpenSource/android-mvp-architecture,1510,4303,0,,,,
doocs/jvm,998,4302,0,,,,
alibaba/COLA,1135,4298,3,,,,
spring-cloud/spring-cloud-netflix,2441,4290,2,,,,
jOOQ/jOOQ,3622,4286,0,,,,
aporter/coursera-android,2628,4285,0,,,,
orientechnologies/orientdb,3020,4275,164,6.0,1.0,6.0,505646.0
quartz-scheduler/quartz,1836,4275,2,3.0,1.0,4.0,41994.0
vavr-io/vavr,2603,4272,16,5.0,1.0,4.0,65068.0
razerdp/BasePopup,1888,4265,14,3.0,1.0,3.0,24471.0
AriaLyy/Aria,1853,4260,26,4.0,1.0,6.0,42493.0
YunaiV/onemall,685,4259,0,,,,
jankotek/mapdb,3134,4254,0,2.0,1.0,4.0,20198.0
hazelcast/hazelcast,3283,4249,43,4.0,1.0,4.0,737631.0
gephi/gephi,3434,4241,12,3.0,1.0,4.0,120074.0
chillzhuang/SpringBlade,777,4234,0,5.0,1.0,1.0,2734.0
Ashok-Varma/BottomNavigation,1824,4232,16,5.5,1.0,6.0,2091.0
twowaits/SDE-Interview-Questions,1239,4228,1,0.0,1.0,1.0,5.0
puniverse/quasar,2912,4227,18,2.0,1.0,2.0,52770.0
techGay/v9porn,1070,4206,8,3.0,1.0,2.0,24663.0
alibaba/jvm-sandbox,1322,4205,12,2.0,1.0,2.0,14467.0
firebase/FirebaseUI-Android,2078,4196,61,4.0,1.0,2.5,16386.0
bingoogolapple/BGARefreshLayout-Android,2120,4176,4,3.0,1.0,2.0,5444.0
jeasonlzy/ImagePicker,1876,4168,5,3.0,1.0,3.0,3685.0
sofastack/sofa-boot,1080,4163,43,4.0,1.0,2.0,22370.0
hustcc/JS-Sorting-Algorithm,1518,4160,0,3.0,1.0,7.5,389.0
Tencent/GT,1890,4153,3,2.0,1.0,3.0,55762.0
lingochamp/okdownload,1186,4144,8,4.0,1.0,5.0,18951.0
confluentinc/ksql,1632,4126,8,5.0,1.0,5.0,155793.0
raphw/byte-buddy,2669,4123,214,4.0,1.0,3.0,238668.0
pedrovgs/AndroidWiFiADB,1977,4122,8,2.0,1.0,2.0,1096.0
grantland/android-autofittextview,3684,4114,1,4.0,1.0,3.0,470.0
auth0/java-jwt,2567,4105,23,4.0,1.0,8.5,7901.0
Jasonchenlijian/FastBle,1667,4086,8,2.0,1.0,2.0,4708.0
awangdev/LintCode,2153,4082,0,,,,
robinhood/ticker,1706,4078,9,4.0,1.0,4.0,1480.0
yasserg/crawler4j,3364,4076,3,4.0,1.0,6.0,4736.0
Nepxion/Discovery,1000,4070,98,3.0,1.0,3.0,15480.0
apache/groovy,2162,4059,0,3.0,1.0,4.0,184484.0
