nameWithOwner,createdAt,pushedAt,primaryLanguage,stargazers,releases,mergedPRs,closedIssues,totalIssues
CyC2018/CS-Notes,2018-02-13T14:56:24Z,2021-02-23T08:52:09Z,{'name': 'Java'},{'totalCount': 121607},{'totalCount': 0},{'totalCount': 375},{'totalCount': 412},{'totalCount': 469}
github/gitignore,2010-11-08T20:17:14Z,2021-02-22T19:12:28Z,,{'totalCount': 114351},{'totalCount': 0},{'totalCount': 1414},{'totalCount': 0},{'totalCount': 0}
flutter/flutter,2015-03-06T22:54:58Z,2021-02-23T12:19:45Z,{'name': 'Dart'},{'totalCount': 113682},{'totalCount': 0},{'totalCount': 18703},{'totalCount': 41958},{'totalCount': 50303}
microsoft/vscode,2015-09-03T20:23:38Z,2021-02-23T12:24:41Z,{'name': 'TypeScript'},{'totalCount': 111462},{'totalCount': 27},{'totalCount': 6334},{'totalCount': 101794},{'totalCount': 106247}
public-apis/public-apis,2016-03-20T23:49:42Z,2021-02-22T19:43:51Z,{'name': 'Python'},{'totalCount': 111206},{'totalCount': 0},{'totalCount': 847},{'totalCount': 165},{'totalCount': 168}
torvalds/linux,2011-09-04T22:48:12Z,2021-02-23T11:56:00Z,{'name': 'C'},{'totalCount': 105577},{'totalCount': 0},{'totalCount': 9},{'totalCount': 0},{'totalCount': 0}
airbnb/javascript,2012-11-01T23:13:50Z,2021-02-17T08:08:54Z,{'name': 'JavaScript'},{'totalCount': 104999},{'totalCount': 0},{'totalCount': 754},{'totalCount': 985},{'totalCount': 1062}
TheAlgorithms/Python,2016-07-16T09:44:01Z,2021-02-23T09:37:08Z,{'name': 'Python'},{'totalCount': 100265},{'totalCount': 0},{'totalCount': 1468},{'totalCount': 607},{'totalCount': 624}
jackfrued/Python-100-Days,2018-03-01T16:05:52Z,2021-02-15T04:29:29Z,{'name': 'Python'},{'totalCount': 99797},{'totalCount': 0},{'totalCount': 12},{'totalCount': 78},{'totalCount': 474}
danistefanovic/build-your-own-x,2018-05-09T12:03:18Z,2021-02-21T23:03:18Z,,{'totalCount': 99560},{'totalCount': 0},{'totalCount': 83},{'totalCount': 284},{'totalCount': 396}
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,2021-02-23T11:17:48Z,{'name': 'Java'},{'totalCount': 97810},{'totalCount': 0},{'totalCount': 380},{'totalCount': 490},{'totalCount': 531}
